stars,minLv,maxLv,primary,secondary,hp,mp,def,wep/mag att,extra att,jump,speed
1,0,200,2,2,5,5,1.05,0,0,0,0
2,0,200,2,2,5,5,1.05,0,0,0,0
3,0,200,2,2,5,5,1.05,0,0,1,1
4,0,200,2,2,10,10,1.05,0,0,1,1
5,0,200,2,2,10,10,1.05,0,0,1,1
6,0,200,3,3,15,15,1.05,0,0,0,0
7,0,200,3,3,15,15,1.05,0,0,0,0
8,0,200,3,3,20,20,1.05,0,0,0,0
9,0,200,3,3,20,20,1.05,0,0,0,0
10,0,200,3,3,25,25,1.05,0,0,0,0
11,0,200,3,3,25,25,1.05,0,0,0,0
12,0,200,3,3,25,25,1.05,0,0,0,0
13,0,200,3,3,25,25,1.05,0,0,0,0
14,0,200,3,3,25,25,1.05,0,0,0,0
15,0,200,3,3,25,25,1.05,0,0,0,0
16,128,137,7,7,0,0,1.05,6,1,0,0
16,138,149,9,9,0,0,1.05,7,1,0,0
16,150,159,11,11,0,0,1.05,8,1,0,0
16,160,199,13,13,0,0,1.05,9,1,0,0
16,200,200,15,15,0,0,1.05,12,0,0,0
17,128,137,7,7,0,0,1.05,7,1,0,0
17,138,149,9,9,0,0,1.05,8,1,0,0
17,150,159,11,11,0,0,1.05,9,1,0,0
17,160,199,13,13,0,0,1.05,9,2,0,0
17,200,200,15,15,0,0,1.05,13,0,0,0
18,128,137,7,7,0,0,1.05,7,2,0,0
18,138,149,9,9,0,0,1.05,8,2,0,0
18,150,159,11,11,0,0,1.05,9,2,0,0
18,160,199,13,13,0,0,1.05,10,2,0,0
18,200,200,15,15,0,0,1.05,14,0,0,0
19,128,137,7,7,0,0,1.05,8,2,0,0
19,138,149,9,9,0,0,1.05,9,2,0,0
19,150,159,11,11,0,0,1.05,10,2,0,0
19,160,199,13,13,0,0,1.05,11,2,0,0
19,200,200,15,15,0,0,1.05,14,1,0,0
20,128,137,7,7,0,0,1.05,9,2,0,0
20,138,149,9,9,0,0,1.05,10,2,0,0
20,150,159,11,11,0,0,1.05,11,2,0,0
20,160,199,13,13,0,0,1.05,12,2,0,0
20,200,200,15,15,0,0,1.05,15,1,0,0
21,128,137,0,0,0,0,1.05,0,2,0,0
21,138,149,9,9,0,0,1.05,11,2,0,0
21,150,159,11,11,0,0,1.05,12,2,0,0
21,160,199,13,13,0,0,1.05,13,2,0,0
21,200,200,15,15,0,0,1.05,16,1,0,0
22,128,137,0,0,0,0,1.05,0,3,0,0
22,138,149,9,9,0,0,1.05,12,3,0,0
22,150,159,11,11,0,0,1.05,13,3,0,0
22,160,199,13,13,0,0,1.05,14,3,0,0
22,200,200,15,15,0,0,1.05,17,2,0,0
23,128,137,0,0,0,0,1.05,0,0,0,0
23,138,149,0,0,0,0,1.05,17,0,0,0
23,150,159,0,0,0,0,1.05,18,0,0,0
23,160,199,0,0,0,0,1.05,19,0,0,0
23,200,200,0,0,0,0,1.05,21,0,0,0
24,128,137,0,0,0,0,1.05,0,0,0,0
24,138,149,0,0,0,0,1.05,19,0,0,0
24,150,159,0,0,0,0,1.05,20,0,0,0
24,160,199,0,0,0,0,1.05,21,0,0,0
24,200,200,0,0,0,0,1.05,23,0,0,0
25,128,137,0,0,0,0,1.05,0,0,0,0
25,138,149,0,0,0,0,1.05,21,0,0,0
25,150,159,0,0,0,0,1.05,22,0,0,0
25,160,199,0,0,0,0,1.05,23,0,0,0
25,200,200,0,0,0,0,1.05,25,0,0,0
